,Unnamed: 0,LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY,StartLat,StartLon,EndLat,EndLon,road,dist,StartCluster,EndCluster,StartClusterX,StartClusterY,EndClusterX,EndClusterY,StartClusterLat,StartClusterLon,EndClusterLat,EndClusterLon,region
0,0,AL1000,A38 between A513 and A5127 (AL1000),A513,A5127,417216,314346,414414,310549,52.72648806,-1.746520875,52.69243608,-1.788174902,A38,4.718941936,0,1,417210,314348,414406.5,310546,52.72650622,-1.746609612,52.69240931,-1.788285997,Area 9
1,1,AL1001,A38 between A5127 and A513 (AL1001),A5127,A513,414399,310543,417204,314350,52.69238254,-1.788397093,52.72652439,-1.746698349,A38,4.728770876,1,0,414406.5,310546,417210,314348,52.69240931,-1.788285997,52.72650622,-1.746609612,Area 9
2,2,AL1004,A38 between A513 and A5121 (AL1004),A513,A5121,417204,314350,421987,321236,52.72652439,-1.746698349,52.78825308,-1.675418074,A38,8.384156785,0,2,417210,314348,422009,321291,52.72650622,-1.746609612,52.7887466,-1.675088181,Area 9
3,3,AL1007,A38 between A5121 and A513 (AL1007),A5121,A513,422031,321346,417216,314346,52.78924012,-1.674758287,52.72648806,-1.746520875,A38,8.496130001,2,0,422009,321291,417210,314348,52.7887466,-1.675088181,52.72650622,-1.746609612,Area 9
4,4,AL1012,A42 between A511 and M42 J11 (AL1012),A511,M42 J11,437463,317050,430730.5,310789.5,52.7497757,-1.446426971,52.69392145,-1.546748247,A42,9.1934986,3,389,437421,317002,430730.5,310789.5,52.74934712,-1.44705462,52.69392145,-1.546748247,Area 7
5,5,AL1016,A42 between A453 and A511 (AL1016),A453,A511,442569,322513,437463,317050,52.79850547,-1.370078368,52.7497757,-1.446426971,A42,7.477673769,4,3,442568.5,322518.5,437421,317002,52.79855495,-1.370085069,52.74934712,-1.44705462,Area 7
6,6,AL1018,A46 between A50 and A5630 (AL1018),A50,A5630,453813,307385,455243,307845,52.66152237,-1.20580256,52.66551369,-1.18458517,A46,1.502165104,5,6,453856.5,307404,455286,307871,52.66168884,-1.205156373,52.66574302,-1.183945065,Area 7
7,7,AL1020,A46 between A5630 and A50 (AL1020),A5630,A50,455329,307897,453900,307423,52.66597236,-1.183304961,52.66185532,-1.204510187,A46,1.505562021,6,5,455286,307871,453856.5,307404,52.66574302,-1.183945065,52.66168884,-1.205156373,Area 7
8,8,AL1025,A46 between A6 and A5630 (AL1025),A6,A5630,459228,310877,455329,307897,52.69234727,-1.125123976,52.66597236,-1.183304961,A46,4.907402674,7,6,459173.5,310865.5,455286,307871,52.69224985,-1.125932295,52.66574302,-1.183945065,Area 7
9,9,AL1027,A46 between A5630 and A6 (AL1027),A5630,A6,455243,307845,459119,310854,52.66551369,-1.18458517,52.69215242,-1.126740614,A46,4.906878539,6,7,455286,307871,459173.5,310865.5,52.66574302,-1.183945065,52.69224985,-1.125932295,Area 7
10,10,AL1037,A500 between M6 J16 and A34 (AL1037),M6 J16,A34,377743.5,352430,383163,351788,53.06863927,-2.333609578,53.06306778,-2.252695668,A500,5.45739354,8,38,377743.5,352430,383224.5,351768.5,53.06863927,-2.333609578,53.06289444,-2.251776946,Area 9
11,11,AL1039,A5103 between M60 J5 and M56 J3A (AL1039),M60 J5,M56 J3A,382477.5,390812,382250.5,389449.5,53.41382088,-2.265085202,53.40156648,-2.268423116,A5103,1.381280294,9,10,382477.5,390812,382250.5,389449.5,53.41382088,-2.265085202,53.40156648,-2.268423116,Area 10
12,12,AL1040,A5103 between M56 J3A and M60 J5 (AL1040),M56 J3A,M60 J5,382250.5,389449.5,382477.5,390812,53.40156648,-2.268423116,53.41382088,-2.265085202,A5103,1.381280294,10,9,382250.5,389449.5,382477.5,390812,53.40156648,-2.268423116,53.41382088,-2.265085202,Area 10
13,13,AL1046,A483 between A55 and A483 (AL1046),A55,A483,339071,362528,336641,359336,53.15638002,-2.912627102,53.12740719,-2.948329254,A483,4.011703379,11,12,339009.5,362525,336633,359337.5,53.156346,-2.913546111,53.12741972,-2.94844909,Area 10
14,14,AL1047,A483 between A483 and A55 (AL1047),A483,A55,336625,359339,338948,362522,53.12743225,-2.948568926,53.15631199,-2.914465121,A483,3.940535243,12,11,336633,359337.5,339009.5,362525,53.12741972,-2.94844909,53.156346,-2.913546111,Area 10
15,15,AL1051,A55 between A55 and A483 (AL1051),A55,A483,335731,363200,338948,362522,53.16202646,-2.962703285,53.15631199,-2.914465121,A55,3.287669844,13,11,335729,363193,339009.5,362525,53.1619633,-2.962731785,53.156346,-2.913546111,Area 10
16,16,AL1053,A55 between A483 and A55 (AL1053),A483,A55,339071,362528,335727,363186,53.15638002,-2.912627102,53.16190014,-2.962760286,A55,3.40812265,11,13,339009.5,362525,335729,363193,53.156346,-2.913546111,53.1619633,-2.962731785,Area 10
17,17,AL1059,A64 between A1079 and A1237 (AL1059),A1079,A1237,464940,451577,464117,455277,53.95621738,-1.011839298,53.98956948,-1.023602479,A64,3.790425966,14,15,464934,451641.5,464138,455333.5,53.95679775,-1.011917019,53.9900746,-1.023270364,Area 12
18,18,AL1061,A64 between A1237 and A1079 (AL1061),A1237,A1079,464159,455390,464928,451706,53.99057973,-1.022938248,53.95737813,-1.01199474,A64,3.763404974,15,14,464138,455333.5,464934,451641.5,53.9900746,-1.023270364,53.95679775,-1.011917019,Area 12
19,19,AL1064,A184 between A19 and A194(M) (AL1064),A19,A194(M),433792,560864,431132,561300,54.94130193,-1.474053537,54.94539222,-1.515526048,A184,2.695495502,16,17,433805,560917,431120.5,561304.5,54.9417773,-1.473844404,54.94543337,-1.515705083,Area 14
